Date,ADS.DE,AI.PA,ALV.DE,ASML.AS,CS.PA,BBVA.MC,SAN.MC,BAS.DE,BAYN.DE,BMW.DE,BNP.PA,SGO.PA,DAI.DE,DTE.DE,ENEL.MI,ENGI.PA,ENI.MI,EOAN.DE,EL.PA,FRE.DE,BN.PA,IBE.MC,INGA.AS,ISP.MI,OR.PA,MC.PA,MUV2.DE,ORA.PA,PHIA.AS,SAF.PA,SAN.PA,SAP.DE,SU.PA,SIE.DE,TEF.MC,FP.PA,URW.AS,DG.PA,VIV.PA,VOW.DE
2000-01-31,-0.25990477037717197,-0.07237968133745555,0.05603810579332721,0.06300960824599158,-0.052842335483315,-0.05966057919345974,-0.11682017752035434,-0.15041470466914617,-0.16539562677389855,-0.22280468734518524,-0.12906268794215467,-0.28595651855445336,-0.1481083643189445,-0.02279262451450772,0.02560610796870832,-0.08072051150076155,-0.07940639525184717,-0.12076052331620002,-0.05504670587872949,0.010256325283595595,-0.04879048785056747,-0.12695330404126842,-0.1533196386800599,-0.16705370543140635,-0.17399140683123726,-0.07723154177586405,0.044759145256951426,0.01138525021216056,0.06662264698661785,0.19662359943082186,-0.04320883481445471,0.15328363781152549,-0.08586032357841424,0.11902724761061995,0.035366818745894105,-0.03704138378871691,0.07175659391730181,-0.06890269918989778,0.185756966149598,-0.14484035504630452
2000-02-29,-0.041141887284382284,-0.11444896836141849,0.06680657725524483,0.08067308847304544,0.0153847504002955,0.13069710519546626,0.07920213265546197,0.0732972005487631,0.09252819205653506,0.12191739367921693,0.008573429235170403,-0.003454250299044226,0.052798038939385505,0.21562194746973373,-0.011299451017803035,0.14783524751483962,-0.002068519238329517,0.09031228095703615,-0.015157378616776691,-0.031090344660090214,-0.05225054747075449,0.09746142122846706,0.01767226874313783,0.1437059854817364,0.03991665987970849,-0.0640518268950478,0.0652661518558865,0.23440055467534587,0.24509345469951677,0.33128042778898537,0.037971173715911875,0.13136280584508334,-0.07889405623376111,0.2876056487370143,0.14194334573192913,0.07786312682120718,-0.0241899161699861,0.0022866886441561766,0.1500639888843548,-0.15190780124802555
2000-03-31,0.05310981372123942,0.03435326233147695,0.17463189886852976,-0.1250875515762947,0.12201502101059979,0.017072097000244507,0.029825650115778757,0.04436000196916616,0.06605033123211534,0.21787901814931704,0.006078735394885267,-0.07917816778444313,-0.028693340899364258,-0.024692274322574363,0.1353052326026023,0.049068698675766784,0.07956493415074153,0.1269798701676132,0.016588893750513124,0.24740809162228472,0.1010410353213215,0.04501900036420466,0.07481467413555538,-0.05392043188977308,-0.021978989114876463,0.12584976077424576,0.13449887877970468,0.07197349424090514,-0.09084781204098091,0.15791279159573485,-0.0035069837198870926,-0.10908112926448765,-0.04269113302336178,-0.20653658062241648,-0.12282007849221849,0.1364361649518312,0.04409347430740714,-0.09071669565001017,-0.012374863100052261,0.1008870509119961
2000-04-30,0.1944600815053901,-0.011785394190876881,-0.00987332640655618,0.1002058923692381,0.10265406705097128,-0.02371684275177004,0.021146210678645014,-0.0065768062293544375,-0.020516907874178945,-0.11326869837154008,0.07471386783451049,0.11720023759556032,-0.023248903999589912,-0.16265900940665662,-0.004975059417024013,-0.04033512189893299,0.04486733746772636,0.0359651079113716,0.045446569235097226,0.018996453084044428,0.04030242342506381,0.03461010105357159,0.058668967563790864,0.11500657850170823,0.1000128127974527,0.05430749880327628,-0.007722050874982074,-0.05598224348975091,0.11133373721369802,-0.001533860183469668,0.029668613414086262,-0.13595557590347407,0.11466550430088655,0.08318089361059197,-0.0755097207157606,0.05733479713215761,0.014348144950105758,0.07457071151589971,-0.1021423055166257,-0.09968159797555617
2000-05-31,-0.07674124299757129,0.06568214231925375,-0.09848085283657804,-0.08591261817482385,-0.024113390639174857,2.7582103268031233e-16,-0.07655159793152459,-0.09229935882230028,-0.07288228734940172,0.10854986221531354,0.10353231350466581,-0.0040050348680741935,-0.09562205921341939,-0.060740000344421424,0.024631650374144436,0.04255986683733927,0.05512517787472225,0.005785215465816361,0.03162065892810123,0.09237317914590769,0.056311393289867555,-0.029488115683592987,0.06592244658693687,0.047175683767254235,-0.010104390287318767,-0.05430749880327603,-0.03595659570618626,-0.08391864467377941,-0.024967964091971627,-0.08302790620515282,0.1300236030314005,-0.16652882140791406,-0.008370182817647067,-0.03616965483054741,-0.10681356985331428,0.01191226471006765,-0.0012963479080820772,0.09298401370116542,0.06508007081765328,0.05403708863151139
2000-06-30,-0.08213831097372958,0.0010445475897216498,-0.01921374531201938,0.13181934604747614,0.04335061467649476,0.0424209228401988,0.050103037732899994,-0.040726925027520684,-0.012640031891433742,-0.031154708830819076,0.04049108078493242,-0.05429036590110769,-0.06501880322687104,-0.10619621111868857,0.0019496213743032962,0.019257763996562774,0.045654560983572956,-0.07070767138056039,0.034428079013864805,-0.14336601079683023,0.10176967064657859,-0.014705499648605107,0.09925871311055369,0.1032307981637561,0.2096461798452435,-0.006884874365529505,0.05591124282404078,-0.06029910518966351,0.031670398034092384,-0.02482604079965514,0.07227210069739845,0.1077368279264983,0.060236811757628836,0.009745900031086982,0.022476107013946464,0.008413547489139176,0.043558898909791026,0.07375898371454442,-0.21826197138191114,-0.08126300672999485
2000-07-31,0.0010350338456511063,0.006567133174603026,0.06456224878924641,-0.07540738954401285,-0.006079188403983346,-0.0032001399520958217,0.014137617934843747,0.058134046168568355,0.09868463533052972,0.1496192587986045,0.05500699747681073,0.13850090061425635,0.04439585206022275,-0.23555314956744258,-0.04616197339885059,-0.03889368381914303,-0.0016542925210328444,0.18693134951130064,0.06756788135217541,-0.0040661315430059256,0.15373953393115797,-0.05968828365732786,0.01874971397141218,0.014815017326837881,-0.028517551168391747,0.0829416794536506,0.08456115061136739,-0.06709202079966652,-0.011196154870120163,-0.30776633866768305,0.14263297375751233,0.21800166201794985,0.012928461227504694,0.041641188030602676,0.008847874529845968,-0.0043679561142086,0.07951752613198618,0.05999390556291878,-0.06999781207323223,0.16670518802460207
2000-08-31,0.0441816736995523,0.0427109033368619,-0.05263513674077784,0.018510283245381808,-0.024692633311597528,0.06873649977109808,0.08863202826610894,-0.06600354442149965,0.051404096413786786,-0.0040954020993981995,-0.02857323899533032,-0.05645341423360526,0.01373807544968325,-0.0884552794904158,0.010443723465775955,-0.05592587559133348,0.07861513785460925,-0.12066155955152491,-0.07145909037607727,0.12666868099107859,-0.05256058754363165,0.039375711726346685,0.04419860947890202,0.008368290209587436,-0.07966459065670559,-0.07120223551168989,-0.14475073505335162,-0.0633212363237439,0.11493582332974417,0.03307908772340701,-0.04714052395404856,0.12349422819243674,0.1154524069094631,0.0867631397722167,-0.04966915202181421,0.0440435855887446,0.08548114010697853,0.21029321923901792,0.06511955348988169,0.04890186488030007
2000-09-30,0.024604095191021958,-0.0767380434306778,-0.01636524498734612,-0.12320561827925883,-0.07796168689166111,0.02424021737788476,0.02771210164254241,-0.03657170472757572,-0.11949491644061129,0.059739128052423686,-0.03540212444382938,-0.0499592198988999,-0.13003388629668158,-0.10420488192484442,-0.020997915485690487,0.05138268513322005,-0.08525962962490691,0.07735911017961561,-0.0595693784135704,0.10459046282059306,0.011635897139330692,0.10613199472607232,0.0010605638842277284,-0.08792094847035195,0.07739288120511817,-0.02139447239438482,0.09006080431039648,-0.056838365465908494,-0.11657480927155506,-0.24832933986462463,0.10372007400637273,0.020293732104885193,-0.1505429723294169,-0.21212741009700792,0.03859349604681829,-0.007810026041202825,-0.02486799580164273,0.013072202272994982,-0.08859387367972585,0.06410668119952784
2000-10-31,-0.1665126610288546,0.04703309261101138,0.05337914925744068,-0.1547270781650451,0.052644147574857074,-0.08908548747285586,-0.11433689882439058,0.11105569261405882,0.16033399178327717,-0.01978204839756155,0.01687379363311177,0.06453877450518317,0.023137047748147517,0.1216246930727781,-0.005319071303621476,0.01581096158744205,0.05983959629132671,0.024901649607162728,-0.035091455446174806,-0.00462927830080425,0.057443816612798126,5.551115123125783e-17,0.06959322499064248,0.1136292932863545,0.023041548527190574,0.005246346506214962,0.06862596306555975,0.014718354513051368,-0.051757583126305844,-0.1607866362442981,0.017900857523061902,-0.19074984117311525,0.07225625925797799,0.009546006785425602,-0.07874228426993206,0.01674645452200453,-0.060613144305334675,0.025643051612746867,0.005919852037200999,0.11451856281924852
